,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.6,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,2.0,2.0
sentence-sentence-token-level/max_size_subordination,3.65,5.0,6.0,7.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.01197,0.0196,0.017
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.08163,0.0596,0.05238,0.03796
document-document-token-level/total_token_ratio_subordination,0.10443,0.20497,0.27197,0.40796
document-document-token-level/ratio_clitic_per_token,0.01512,0.04172,0.02922,0.04137
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.01512,0.04027,0.02796,0.03891
document-document-token-level/ratio_named_entities_per_token,0.04312,0.03975,0.03216,0.02601
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.00591,0.0097,0.00841
document-document-token-level/ratio_subordination_per_token,0.02088,0.035,0.04286,0.0539
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.40926,0.37093,0.38354,0.38939
document-document-token-level/concrete_ratio,0.09791,0.11166,0.0967,0.0839
document-document-token-level/hapax_legomena_lemma_ratio,0.35406,0.2492,0.29397,0.30915
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.06713,0.09516,0.0765
document-document-token-level/ratio_subordination_per_verb,0.18333,0.44503,0.52371,0.58506
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.02502,0.02624,0.02563,0.0279
document-document-token-level/total_token_ratio_coordination,0.03252,0.03125,0.031,0.02987
sentence-sentence-sentence-level/parse_depth,3.0,3.0,4.0,4.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/sentence_length,7.0,9.0,11.0,12.0
document-document-document-level/word_count,57.2,158.2,191.85,242.95
document-document-document-level/sentence_count,3.3,11.0,11.0,13.0
document-document-document-level/lexical_diversity,0.9439,0.97276,0.98253,0.98643
token-token-token-level-high/word_length,2.0,2.0,2.0,2.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,2.0,2.0,1.0,1.0
token-token-token-level-high/ortho_neighbors_+freq_cum,20.97,14.75,11.71,9.846
token-token-token-level-high/age_of_acquisition,4.24472,4.35484,4.35484,4.35484
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.89286,6.85714,6.89286,6.89286
token-token-token-level-low/lexical_frequency,13550.68,8795.14,8792.0115,8795.14
