,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.2,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,2.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,2.0,2.0,3.0,3.0
sentence-sentence-token-level/max_size_subordination,5.0,7.0,9.0,11.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.01333,0.0252,0.03141,0.0252
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0057
document-document-token-level/total_token_ratio_named_entities,0.11763,0.08491,0.07514,0.05405
document-document-token-level/total_token_ratio_subordination,0.14329,0.2831,0.37624,0.44712
document-document-token-level/ratio_clitic_per_token,0.06402,0.06217,0.04702,0.05194
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.06402,0.05907,0.04702,0.05036
document-document-token-level/ratio_named_entities_per_token,0.055,0.05214,0.04297,0.03371
document-document-token-level/ratio_aux_verbs_per_token,0.00667,0.0126,0.01571,0.01186
document-document-token-level/ratio_subordination_per_token,0.03201,0.04839,0.05824,0.0709
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.00285
document-document-token-level/sophisticated_ratio,0.52965,0.44799,0.44547,0.44878
document-document-token-level/concrete_ratio,0.08516,0.08932,0.07972,0.06612
document-document-token-level/hapax_legomena_lemma_ratio,0.48884,0.29008,0.32548,0.3402
document-document-token-level/ratio_aux_verbs_per_verb,0.08571,0.12895,0.16233,0.12315
document-document-token-level/ratio_subordination_per_verb,0.4,0.51539,0.6,0.63655
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0303
document-document-token-level/ratio_coordination_per_token,0.0327,0.03361,0.03299,0.03387
document-document-token-level/total_token_ratio_coordination,0.03713,0.0437,0.04202,0.03828
sentence-sentence-sentence-level/parse_depth,4.0,4.0,5.0,5.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,10.0,13.0,16.0,18.0
document-document-document-level/word_count,77.0,193.0,240.35,295.05
document-document-document-level/sentence_count,5.0,15.6,15.0,16.0
document-document-document-level/lexical_diversity,0.95404,0.98437,0.99039,0.99087
token-token-token-level-high/word_length,3.0,4.0,4.0,4.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,4.0,4.0,3.0,3.0
token-token-token-level-high/ortho_neighbors_+freq_cum,90.506,94.83,65.7845,58.564
token-token-token-level-high/age_of_acquisition,4.81646,4.8198,4.85317,4.8198
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.42857,6.46429,6.46429,6.64286
token-token-token-level-low/lexical_frequency,955.7985,2424.19,1466.42,1522.91
